Year,Film
2010, Alice in Wonderland
2010, Black Swan
2010, The King's Speech
2010, Made in Dagenham
2010, True Grit
2011, The Artist
2011, Tinker Tailor Soldier Spy
2011, Jane Eyre
2011, Hugo
2011, My Week with Marilyn
2012, Anna Karenina
2012, Great Expectations
2012, Les Misérables
2012, Lincoln
2012, Snow White and the Huntsman
2013, The Great Gatsby
2013, American Hustle
2013, Behind the Candelabra
2013, The Invisible Woman
2013, Saving Mr. Banks
2014, The Grand Budapest Hotel
2014, The Imitation Game
2014, Into the Woods
2014, Mr. Turner
2014, The Theory of Everything
2015, Mad Max: Fury Road
2015, Brooklyn
2015, Carol
2015, Cinderella
2015, The Danish Girl
2016, Jackie
2016, Allied
2016, Fantastic Beasts and Where to Find Them
2016, Florence Foster Jenkins
2016, La La Land
2017, Phantom Thread
2017, Beauty and the Beast
2017, Darkest Hour
2017," I, Tonya"
2017, The Shape of Water
2018, The Favourite
2018, The Ballad of Buster Scruggs
2018, Bohemian Rhapsody
2018, Mary Poppins Returns
2018, Mary Queen of Scots
2019,Little Women
2019,The Irishman
2019,Jojo Rabbit
2019,Judy
2019,Once Upon a Time in Hollywood
