Year,Actor,Film
2010,Christian Bale , The Fighter
2010,Andrew Garfield , The Social Network
2010,Jeremy Renner , The Town
2010,Sam Rockwell , Conviction
2010,Mark Ruffalo , The Kids Are All Right
2010,Geoffrey Rush , The King's Speech
2011, Christopher Plummer , Beginners
2011,Kenneth Branagh , My Week with Marilyn
2011,Albert Brooks , Drive
2011,Nick Nolte , Warrior
2011,Patton Oswalt , Young Adult
2011,Andy Serkis , Rise of the Planet of the Apes
2012,Philip Seymour Hoffman , The Master
2012,Alan Arkin , Argo
2012,Javier Bardem , Skyfall
2012,Robert De Niro , Silver Linings Playbook
2012,Tommy Lee Jones , Lincoln
2012,Matthew McConaughey , Magic Mike
2013,Jared Leto, Dallas Buyers Club
2013,Barkhad Abdi , Captain Phillips
2013,Daniel Brühl , Rush
2013,Bradley Cooper , American Hustle
2013,Michael Fassbender , 12 Years a Slave
2013,James Gandolfini , Enough Said
2014,J. K. Simmons , Whiplash
2014,Josh Brolin , Inherent Vice
2014,Robert Duvall , The Judge
2014,Ethan Hawke , Boyhood
2014,Edward Norton ,Birdman or (The Unexpected Virtue of Ignorance)
2014,Mark Ruffalo , Foxcatcher
2015,Sylvester Stallone , Creed
2015,Paul Dano , Love & Mercy
2015,Tom Hardy , The Revenant
2015,Mark Ruffalo , Spotlight
2015,Mark Rylance , Bridge of Spies
2015,Michael Shannon , 99 Homes
2016,Mahershala Ali , Moonlight
2016,Jeff Bridges , Hell or High Water
2016,Ben Foster , Hell or High Water
2016,Lucas Hedges , Manchester by the Sea
2016,Dev Patel , Lion
2016,Michael Shannon , Nocturnal Animals
2017,Sam Rockwell ," Three Billboards Outside Ebbing, Missouri"
2017,Willem Dafoe , The Florida Project
2017,Armie Hammer , Call Me by Your Name
2017,Richard Jenkins , The Shape of Water
2017,Patrick Stewart , Logan
2017,Michael Stuhlbarg , Call Me by Your Name
2018,Mahershala Ali , Green Book
2018,Timothée Chalamet , Beautiful Boy
2018,Adam Driver , BlacKkKlansman
2018,Sam Elliott , A Star Is Born
2018,Richard E. Grant , Can You Ever Forgive Me?
2018,Michael B. Jordan , Black Panther
2019,Brad Pitt, Once Upon a Time in Hollywood
2019,Willem Dafoe , The Lighthouse
2019,Tom Hanks , A Beautiful Day in the Neighborhood
2019,Anthony Hopkins , The Two Popes
2019,Al Pacino , The Irishman
2019,Joe Pesci , The Irishman
